epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,159.674,1.2248,3.96731,1.57141,0.49757,0.08883,0.05675,0.03322,1.256,4.12705,1.61263,0.0001323,0.0001323,0.0001323
2,355.294,1.23159,3.3101,1.55862,0.32978,0.24004,0.14914,0.08025,1.30794,3.65098,1.6986,0.000260374,0.000260374,0.000260374
3,543.977,1.20982,3.01335,1.54035,0.52265,0.25929,0.20209,0.12065,1.32753,3.23593,1.73236,0.000383167,0.000383167,0.000383167
4,744.929,1.18936,2.78758,1.5217,0.50153,0.31896,0.26151,0.16186,1.23661,2.98488,1.60938,0.00037624,0.00037624,0.00037624
5,938.119,1.19356,2.59393,1.51875,0.56826,0.35307,0.31763,0.19407,1.19564,2.63762,1.57226,0.00036832,0.00036832,0.00036832
6,1129.9,1.13094,2.41068,1.47488,0.58493,0.36083,0.35446,0.22083,1.17552,2.57502,1.53608,0.0003604,0.0003604,0.0003604
7,1328.41,1.14346,2.31952,1.46956,0.54735,0.47301,0.43138,0.28989,1.19283,2.47295,1.53748,0.00035248,0.00035248,0.00035248
8,1523.67,1.1427,2.17259,1.45713,0.67941,0.40631,0.51126,0.33112,1.15299,2.17625,1.51914,0.00034456,0.00034456,0.00034456
9,1716.84,1.09781,2.08288,1.44084,0.52633,0.48857,0.45375,0.30576,1.18039,2.07073,1.51536,0.00033664,0.00033664,0.00033664
10,1888.52,1.10311,1.99136,1.44303,0.74183,0.40109,0.48879,0.32805,1.1237,1.99271,1.45388,0.00032872,0.00032872,0.00032872
11,2062.1,1.07415,1.9455,1.41836,0.54327,0.50154,0.51326,0.35529,1.11034,1.85258,1.48681,0.0003208,0.0003208,0.0003208
12,2238.26,1.0559,1.85642,1.40745,0.63713,0.54019,0.57665,0.37388,1.22739,1.74953,1.55507,0.00031288,0.00031288,0.00031288
13,2419.29,1.03732,1.83314,1.38893,0.62707,0.60237,0.62665,0.42608,1.09672,1.65555,1.45728,0.00030496,0.00030496,0.00030496
14,2608.03,1.05075,1.77777,1.38756,0.55681,0.61067,0.617,0.4294,1.09886,1.62912,1.43844,0.00029704,0.00029704,0.00029704
15,2808.5,1.02967,1.72797,1.37887,0.54677,0.62913,0.60282,0.39791,1.11051,1.55228,1.43264,0.00028912,0.00028912,0.00028912
16,3018.65,1.02194,1.66039,1.37101,0.71475,0.57758,0.66039,0.44932,1.06082,1.47313,1.39083,0.0002812,0.0002812,0.0002812
17,3214.82,1.01469,1.61684,1.37266,0.60187,0.6718,0.67364,0.47372,1.05193,1.39398,1.40118,0.00027328,0.00027328,0.00027328
18,3410.6,1.00974,1.59011,1.35726,0.80889,0.54434,0.67727,0.46219,1.05794,1.4243,1.38972,0.00026536,0.00026536,0.00026536
