epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,374.676,1.16382,2.465,1.4639,0.81461,0.29106,0.3172,0.22108,1.087,1.20652,1.35293,0.00998555,0.00332852,0.00998555,0.00332852,0.00998555,0.00332852,0.00998555,0.00332852
2,710.404,1.09093,1.55362,1.40811,0.8419,0.33389,0.40781,0.26977,1.18613,1.16616,1.50395,0.0197877,0.0065959,0.0197877,0.0065959,0.0197877,0.0065959,0.0197877,0.0065959
3,1032.73,1.166,1.62627,1.4733,0.69413,0.26686,0.28196,0.17786,1.26057,1.46382,1.60762,0.0293918,0.00979728,0.0293918,0.00979728,0.0293918,0.00979728,0.0293918,0.00979728
4,1347.16,1.18837,1.70768,1.49638,0.74639,0.3379,0.38375,0.24698,1.15376,1.22089,1.49182,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,1663.43,1.13821,1.54534,1.45849,0.61589,0.42822,0.44755,0.30669,1.05624,1.01674,1.40002,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1981.32,1.09941,1.45605,1.42843,0.74782,0.4227,0.50356,0.35779,1.03193,0.90126,1.37514,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,2296.91,1.06636,1.36757,1.40273,0.75695,0.40684,0.48399,0.34378,1.00742,0.87844,1.35051,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,2611.48,1.05006,1.31109,1.38486,0.70488,0.48256,0.52774,0.38857,0.97519,0.78917,1.3088,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,2924.86,1.02146,1.24721,1.36717,0.88527,0.44426,0.58523,0.40925,0.97667,0.78993,1.29713,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,3240.44,1.01054,1.21984,1.35754,0.85466,0.39434,0.56435,0.40045,0.94943,0.76981,1.27867,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,3551.07,0.99772,1.17593,1.34119,0.59298,0.54738,0.56733,0.42577,0.92484,0.73259,1.25412,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,3865.94,0.97103,1.13534,1.32918,0.69887,0.57773,0.58747,0.441,0.91789,0.71515,1.24416,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,4178.18,0.96169,1.10358,1.31692,0.63805,0.58692,0.60469,0.43904,0.8933,0.67357,1.21862,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,4493.62,0.95496,1.09921,1.31336,0.7526,0.53463,0.66411,0.48334,0.89627,0.65258,1.21289,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,4808.88,0.94382,1.05859,1.30815,0.64468,0.64787,0.66907,0.48829,0.89692,0.64977,1.21234,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,5120.34,0.93235,1.0367,1.28876,0.8155,0.55526,0.67606,0.49599,0.88569,0.63071,1.20001,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,5438.66,0.92864,1.03162,1.29193,0.55518,0.68788,0.6882,0.50952,0.90699,0.63354,1.21863,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,5752.83,0.91638,1.0114,1.28234,0.75154,0.56985,0.6338,0.47257,0.86752,0.61474,1.18009,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,6063.9,0.90889,0.99857,1.27434,0.68542,0.69504,0.69849,0.51262,0.85258,0.60734,1.17745,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,6379.58,0.90464,0.97148,1.27423,0.72231,0.64129,0.67248,0.50845,0.84578,0.57721,1.1641,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,6693.03,0.89992,0.964,1.27093,0.85623,0.55193,0.69915,0.52775,0.845,0.57891,1.16302,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,7006.78,0.88299,0.94943,1.25728,0.77209,0.59812,0.70055,0.53641,0.8249,0.57317,1.13776,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,7316.8,0.8827,0.93583,1.25737,0.76982,0.61674,0.70257,0.52197,0.84974,0.56974,1.16424,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,7625.53,0.87567,0.92311,1.25231,0.73059,0.62019,0.73572,0.54525,0.82195,0.55038,1.14746,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,7935.77,0.88185,0.91964,1.25388,0.72809,0.70467,0.73784,0.52871,0.83467,0.54425,1.14798,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,8247.01,0.86766,0.9082,1.24518,0.68375,0.71704,0.75177,0.52587,0.83149,0.54044,1.14836,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,8557.29,0.85569,0.88198,1.23592,0.62998,0.72407,0.7383,0.53415,0.82382,0.53312,1.13186,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,8871.66,0.86022,0.88367,1.23777,0.63918,0.73481,0.73471,0.54395,0.79604,0.5204,1.12714,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,9182.04,0.84897,0.85884,1.22819,0.56648,0.77114,0.72659,0.53902,0.8065,0.52441,1.12683,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,9495.64,0.84634,0.87118,1.23173,0.69142,0.78518,0.75352,0.55719,0.8061,0.51313,1.12653,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,9814.42,0.84043,0.85447,1.22549,0.66784,0.76198,0.77057,0.5722,0.79943,0.50623,1.11329,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,10134.1,0.83961,0.84682,1.22428,0.71293,0.72132,0.73222,0.54676,0.7931,0.50549,1.1089,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,10447.3,0.83524,0.84785,1.22534,0.65662,0.73823,0.73967,0.52742,0.79705,0.50413,1.11322,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,10759.3,0.82908,0.82126,1.21685,0.73244,0.72677,0.7773,0.56484,0.7986,0.49445,1.11642,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,11074,0.82912,0.82653,1.21835,0.72559,0.7685,0.7732,0.56318,0.78208,0.48179,1.10042,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,11387.1,0.81847,0.80393,1.20321,0.76302,0.73077,0.74228,0.54651,0.7849,0.48109,1.09235,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,11695.7,0.81747,0.8008,1.21258,0.74506,0.74518,0.74108,0.58045,0.78106,0.47672,1.10365,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,12012.3,0.81101,0.78716,1.20313,0.70735,0.74837,0.77803,0.59078,0.78193,0.47492,1.09637,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,12324.6,0.8107,0.79745,1.204,0.82918,0.73407,0.78773,0.59417,0.77237,0.47484,1.09484,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,12639.1,0.80912,0.77915,1.19843,0.7152,0.80121,0.79537,0.60629,0.76907,0.47315,1.09022,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,12954.8,0.80395,0.78704,1.19884,0.76371,0.76273,0.79879,0.602,0.76189,0.46858,1.0819,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,13268.2,0.79236,0.77266,1.19255,0.76028,0.78353,0.78349,0.58426,0.76203,0.46855,1.08862,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,13581.4,0.80096,0.77617,1.19694,0.76022,0.79347,0.79568,0.62141,0.76335,0.46756,1.08017,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,13895.9,0.78773,0.77038,1.18692,0.77508,0.77104,0.79641,0.61174,0.74066,0.45663,1.06303,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,14207.3,0.77906,0.74978,1.17789,0.70738,0.8345,0.81315,0.60649,0.75296,0.45644,1.07667,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,14517.5,0.77696,0.742,1.17743,0.89745,0.75005,0.80618,0.61456,0.74489,0.44838,1.07037,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,14830.8,0.7779,0.73743,1.18127,0.81214,0.74717,0.81356,0.62973,0.746,0.44769,1.06736,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,15143.9,0.77193,0.73721,1.17749,0.79771,0.75577,0.7852,0.61849,0.74324,0.45168,1.06502,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,15455.7,0.77513,0.73009,1.17801,0.78096,0.78293,0.78197,0.61157,0.74306,0.44937,1.06649,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,15770,0.77143,0.73573,1.17922,0.77361,0.78067,0.80652,0.61677,0.73511,0.44095,1.06237,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,16078.6,0.76903,0.71097,1.17091,0.81993,0.74215,0.80045,0.61223,0.73198,0.43923,1.05663,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,493.785,0.75042,0.69047,1.16179,0.78612,0.78538,0.80126,0.60756,0.72553,0.43417,1.05152,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,803.781,0.75153,0.703,1.1659,0.83745,0.71091,0.80568,0.61593,0.72694,0.43248,1.05426,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,1114.49,0.75458,0.70223,1.16639,0.75434,0.81319,0.80259,0.62515,0.72031,0.42647,1.05175,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,1423.71,0.75,0.69825,1.16368,0.81096,0.76738,0.81091,0.63076,0.72029,0.42878,1.04798,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,1740.23,0.74721,0.68925,1.1609,0.77902,0.8217,0.81856,0.63797,0.72029,0.42251,1.04752,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,2053.66,0.74314,0.69313,1.16112,0.71875,0.83062,0.82404,0.64055,0.71852,0.4196,1.0453,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,2362.05,0.73952,0.68664,1.15211,0.81218,0.78498,0.80537,0.64056,0.71815,0.41933,1.04597,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,2671.14,0.73603,0.67808,1.15384,0.8301,0.76927,0.81962,0.63123,0.71803,0.41724,1.04659,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,2979.98,0.73005,0.67024,1.15049,0.81557,0.77056,0.83176,0.65804,0.71624,0.41808,1.0458,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,3292.64,0.72864,0.67389,1.14973,0.80024,0.77389,0.82786,0.66607,0.71451,0.41598,1.04414,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,3602.24,0.72946,0.66743,1.14626,0.781,0.81454,0.83809,0.65986,0.71074,0.41172,1.04106,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,3907.5,0.71596,0.65457,1.14251,0.79066,0.7987,0.83681,0.66961,0.70765,0.40903,1.03828,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,4215.92,0.71693,0.65389,1.14121,0.79353,0.81714,0.83036,0.6663,0.70364,0.40782,1.0341,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,4520.87,0.71162,0.65276,1.14048,0.73852,0.82117,0.83358,0.67534,0.70184,0.40386,1.03488,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,4833.21,0.70683,0.64089,1.13844,0.73378,0.81581,0.83181,0.67248,0.69927,0.40243,1.03278,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,5144.06,0.70094,0.63231,1.12943,0.78809,0.81369,0.83146,0.67675,0.69566,0.40312,1.02985,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,5456.41,0.70087,0.63829,1.1322,0.78801,0.81305,0.82168,0.66838,0.69437,0.40251,1.02967,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,5767.87,0.69371,0.63264,1.1316,0.76087,0.80645,0.83279,0.67627,0.69232,0.40123,1.02977,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,6078.66,0.68901,0.62384,1.12659,0.7403,0.80964,0.82619,0.67158,0.69109,0.39987,1.03045,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,6389.56,0.6859,0.61286,1.12672,0.75083,0.82067,0.83617,0.67896,0.69015,0.39817,1.03032,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,6704.38,0.68658,0.60994,1.12396,0.79124,0.785,0.83193,0.67913,0.68694,0.3982,1.02714,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,7017,0.67247,0.60617,1.11475,0.78591,0.79606,0.83267,0.68367,0.68523,0.39646,1.02509,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,7330.16,0.67664,0.60018,1.11986,0.78442,0.80052,0.83358,0.68832,0.68204,0.39489,1.02266,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,7644.01,0.66728,0.59266,1.11519,0.78877,0.79836,0.82518,0.67966,0.68048,0.39331,1.02144,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,7954.49,0.67189,0.59201,1.11542,0.7866,0.80072,0.82455,0.67849,0.67915,0.39194,1.02066,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,8265.84,0.66334,0.5953,1.11062,0.78339,0.8098,0.82403,0.6766,0.67745,0.39069,1.01928,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,8576.69,0.65296,0.57712,1.10441,0.79417,0.81522,0.82422,0.67392,0.67608,0.3891,1.01844,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,8888.66,0.66024,0.58123,1.10799,0.78821,0.82222,0.82501,0.67452,0.67449,0.38848,1.01727,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,9194.27,0.65219,0.56565,1.10121,0.79498,0.81858,0.82567,0.6782,0.67409,0.387,1.01696,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,9501.7,0.64764,0.57081,1.10339,0.79153,0.81748,0.82638,0.68081,0.67284,0.38653,1.01587,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,9809.88,0.6445,0.56376,1.09873,0.79867,0.81588,0.82714,0.67985,0.67134,0.38513,1.01451,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,10117.2,0.6434,0.56573,1.09827,0.78235,0.82413,0.82802,0.68078,0.66994,0.38492,1.01364,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,10428.1,0.63957,0.55894,1.10026,0.81363,0.80406,0.82794,0.68085,0.66892,0.38437,1.01343,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,10737.5,0.63274,0.54478,1.09431,0.80718,0.80703,0.82822,0.68027,0.66806,0.38417,1.01348,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,11044.6,0.63203,0.55127,1.09276,0.80562,0.80819,0.82899,0.6812,0.66735,0.38394,1.01308,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,11352.8,0.62204,0.53784,1.0822,0.80659,0.80851,0.82939,0.68254,0.66643,0.38371,1.01273,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,11659.5,0.62236,0.53401,1.08945,0.80731,0.80926,0.82947,0.68278,0.6653,0.38302,1.01232,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,11971.1,0.61464,0.52575,1.08023,0.80817,0.80933,0.82822,0.68165,0.66424,0.3824,1.01179,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
